Parent ZAI,Reaction ID,Daughter ZAI,Cross-section
10030,16,10020,4.31E-05
10030,17,10010,1.89E-06
40070,103,30070,25.01222373
40100,16,40090,0.000134894
40100,102,40110,1.11E-05
60140,16,60130,3.19E-05
60140,17,60120,4.97E-09
60140,102,60150,5.58E-06
60140,103,50140,0
110220,16,110210,2.75E-06
110220,17,110200,0
110220,102,110230,0.04056699
110220,103,100220,3.41688527
110240,16,110230,0.000923343
110240,17,110220,0
110240,102,110250,0.001242011
110240,103,100240,0.00064419
120280,16,120270,0.000173446
120280,17,120260,1.03E-05
120280,102,120290,4.27E-06
120280,103,110280,1.65E-07
130260,16,130250,3.14E-06
130260,17,130240,0
130260,17,130241,0
130260,102,130270,0.002514679
130260,103,120260,0.378864628
140310,16,140300,0.000838421
140310,17,140290,2.83E-07
140310,102,140320,0.000474684
140310,103,130310,1.48E-05
140320,16,140310,0.000172173
140320,17,140300,3.25E-06
140320,102,140330,3.82E-05
140320,103,130320,7.71E-07
150320,16,150310,0.000273111
150320,17,150300,0
150320,102,150330,0.003118893
150320,103,140320,0.009284207
150330,16,150320,0.000119204
150330,17,150310,3.28E-08
150330,102,150340,0.000130607
150330,103,140330,8.51E-05
160350,16,160340,0.000672032
160350,17,160330,9.42E-09
160350,102,160360,0.001932953
160350,103,150350,5.24E-05
170360,16,170350,0.00022024
170360,17,170340,0
170360,17,170341,0
170360,102,170370,0.013762459
170360,103,160360,0.019588241
180370,16,180360,5.98E-05
180370,17,180350,0
180370,102,180380,0.007812949
180370,103,170370,0.246097618
180390,16,180380,0.000591516
180390,17,180370,2.93E-09
180390,102,180400,0.203938108
180390,103,170390,9.58E-05
180410,16,180400,0.000671761
180410,17,180390,3.67E-06
180410,102,180420,0.002665753
180410,103,170410,8.96E-06
180420,16,180410,0.000192471
180420,17,180400,4.47E-06
180420,102,180430,0.001772421
180420,103,170420,8.42E-06
190400,16,190390,0.000127047
190400,17,190380,0
190400,17,190381,0
190400,102,190410,0.026102226
190400,103,180400,0.016863936
190420,16,190410,0.000418766
190420,17,190400,1.99E-07
190420,102,190430,0.017654408
190420,103,180420,0.000994014
190430,16,190420,0.00013125
190430,17,190410,4.13E-07
190430,102,190440,0.020870317
190430,103,180430,2.33E-05
200410,16,200400,4.91E-05
200410,17,200390,0
200410,102,200420,0.012805537
200410,103,190410,0.046347378
200450,16,200440,0.000342402
200450,17,200430,1.22E-08
200450,102,200460,0.053921179
200450,103,190450,1.77E-05
200470,16,200460,0.000502714
200470,17,200450,3.19E-07
200470,102,200480,0.015834799
200470,103,190470,5.42E-06
210441,16,210430,5.43E-05
210441,17,210420,0
210441,17,210421,0
210441,102,210450,0.021979892
210441,102,210451,0.051175543
210441,103,200440,0.978943058
210460,16,210450,0.000145719
210460,16,210451,3.51E-05
210460,17,210440,0
210460,17,210441,0
210460,102,210470,0.070664838
210460,103,200460,0.005324468
210470,16,210460,0.000159569
210470,16,210461,3.18E-05
210470,17,210450,0
210470,17,210451,0
210470,102,210480,0.058660487
210470,103,200470,0.000192358
210480,16,210470,0.000299431
210480,17,210460,1.97E-09
210480,17,210461,4.58E-11
210480,102,210490,0.11091706
210480,103,200480,0.000290446
220440,16,220430,4.08E-08
220440,17,220420,0
220440,102,220450,0.002386244
220440,103,210440,0.21189047
220440,103,210441,0.00334843
220450,16,220440,1.13E-05
220450,17,220430,0
220450,102,220460,0.100403332
220450,103,210450,4.475845008
220450,103,210451,2.95432435
230480,16,230470,4.47E-05
230480,17,230460,0
230480,102,230490,0.08295903
230480,103,220480,4.065734505
230490,16,230480,5.99E-05
230490,17,230470,0
230490,102,230500,0.122079091
230490,103,220490,0.05360677
230500,16,230490,0.000116544
230500,17,230480,0
230500,102,230510,0.108306746
230500,103,220500,0.001093553
240480,16,240470,2.45E-08
240480,17,240460,0
240480,102,240490,0.035128995
240480,103,230480,1.95429001
240510,16,240500,0.000160273
240510,17,240490,0
