Parent ZAI,Reaction ID,Daughter ZAI,Cross-section
210441,16,210430,5.43E-05
210441,17,210420,0
210441,17,210421,0
210441,102,210450,0.021979892
210441,102,210451,0.051175543
210441,103,200440,0.978943058
270581,16,270570,0.000218208
270581,17,270560,0
270581,102,270590,0.15722476
270581,103,260580,0.128287306
300691,16,300680,0.001102617
300691,17,300670,4.45E-06
300691,102,300700,0.101076199
300691,103,290690,6.99E-06
370821,16,370810,8.31E-05
370821,16,370811,0.000272159
370821,17,370800,0
370821,102,370830,1.481756544
370821,103,360820,0.497781821
390871,16,390860,7.19E-05
390871,16,390861,3.91E-05
390871,17,390850,0
390871,17,390851,0
390871,102,390880,0.519963593
390871,103,380870,0.135096416
390871,103,380871,0.002597138
410911,16,410900,2.34E-05
410911,16,410901,4.77E-05
410911,17,410890,0
410911,17,410891,0
410911,102,410920,0.051981141
410911,102,410921,0.122540007
410911,103,400910,0.007737405
410921,16,410910,0.000930313
410921,16,410911,0.000239244
410921,17,410900,0
410921,17,410901,0
410921,102,410930,0.174259167
410921,102,410931,0.164946495
410921,103,400920,0.013820296
410931,16,410920,0.000192667
410931,16,410921,0.000285767
410931,17,410910,1.09E-05
410931,17,410911,1.48E-06
410931,102,410940,0.141509101
410931,102,410941,0.315101421
410931,103,400930,0.000124652
410951,16,410940,0.00017179
410951,16,410941,0.00050796
410951,17,410930,3.56E-05
410951,17,410931,5.57E-06
410951,102,410960,0.326677706
410951,103,400950,1.14E-05
420931,16,420920,0.000358277
420931,17,420910,1.64E-08
420931,17,420911,4.55E-11
420931,102,420940,1.174165393
420931,103,410930,0.011457454
420931,103,410931,3.34E-06
430951,16,430940,0.000312614
430951,16,430941,3.38E-05
430951,17,430930,2.35E-07
430951,17,430931,4.76E-09
430951,102,430960,0.233919925
430951,102,430961,0.115046079
430951,103,420950,0.018765431
430971,16,430960,0.000366513
430971,16,430961,0.000118439
430971,17,430950,3.15E-06
430971,17,430951,4.40E-07
430971,102,430980,0.551143001
430971,103,420970,0.00020214
430991,16,430980,0.000670066
430991,17,430970,1.38E-05
430991,17,430971,3.29E-06
430991,102,431000,0.982761299
430991,103,420990,1.99E-05
450991,16,450980,8.75E-05
450991,16,450981,0.000133634
450991,17,450970,1.15E-08
450991,17,450971,3.16E-11
450991,102,451000,0.620846042
450991,102,451001,0.218194663
450991,103,440990,0.037544301
451011,16,451000,0.00012223
451011,16,451001,0.000149567
451011,17,450990,1.58E-07
451011,17,450991,1.27E-06
451011,102,451020,0.289100386
451011,102,451021,0.817483018
451011,103,441010,0.000437452
451021,16,451010,0.000180383
451021,16,451011,0.000606993
451021,17,451000,1.97E-06
451021,17,451001,1.82E-06
451021,102,451030,0.542071938
451021,102,451031,1.184826304
451021,103,441020,0.000182817
471061,16,471050,7.22E-05
471061,16,471051,0.000696657
471061,17,471040,1.00E-06
471061,17,471041,1.57E-07
471061,102,471070,0.994876637
471061,102,471071,0.962549935
471061,103,461060,0.001090843
471081,16,471070,0.00015045
471081,16,471071,0.001431974
471081,17,471060,1.14E-06
471081,17,471061,4.34E-06
471081,102,471090,0.871276641
471081,102,471091,0.851456216
471081,103,461080,7.77E-05
471101,16,471090,0.000211836
471101,16,471091,0.001348275
471101,17,471080,8.52E-06
471101,17,471081,9.20E-06
471101,102,471110,0.050616169
471101,102,471111,0.854659437
471101,103,461100,1.59E-05
481131,16,481120,0.001711159
481131,17,481110,9.13E-06
481131,17,481111,1.57E-05
481131,102,481140,0.553011232
481131,103,471130,1.69E-06
481131,103,471131,3.00E-06
481151,16,481140,0.001341701
481151,17,481130,1.29E-05
481151,17,481131,3.29E-05
481151,102,481160,0.436672175
481151,103,471150,4.81E-07
481151,103,471151,1.88E-06
491141,16,491130,0.001368308
491141,16,491131,8.10E-05
