Nuclide Name,ZAID,ORION ID,Parent 16 ZAID,Parent 17 ZAID,Parent 102 ZAID,Parent 103 ZAID,Parent(M) 16 ZAID,Parent(2M) 16 ZAID,Parent(M) 17 ZAID,Parent(2M) 17 ZAID,Parent(M) 102 ZAID,Parent(2M) 102 ZAID,Parent(M) 103 ZAID,Parent(2M) 103 ZAID
NA24(1),110241,42,NA,NA,110230,120240,NA,NA,NA,NA,NA,NA,NA,NA
AL24(1),130241,60,NA,130260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL26(1),130261,63,130270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL34(1),170341,94,170350,170360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL38(1),170381,97,NA,NA,170370,180380,NA,NA,NA,NA,NA,NA,NA,NA
K38(1),190381,118,190390,190400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC42(1),210421,143,NA,210441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC44(1),210441,146,210450,210460,NA,220440,NA,NA,NA,NA,NA,NA,NA,NA
SC45(1),210451,147,210460,210470,NA,220450,NA,NA,NA,NA,210441,NA,NA,NA
SC46(1),210461,149,210470,210480,210450,220460,NA,NA,NA,NA,NA,NA,NA,NA
SC50(1),210501,154,NA,NA,NA,220500,NA,NA,NA,NA,NA,NA,NA,NA
MN50(1),250501,187,NA,250520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN52(1),250521,190,250530,250540,NA,260520,NA,NA,NA,NA,NA,NA,NA,NA
MN58(1),250581,196,NA,NA,NA,260580,NA,NA,NA,NA,NA,NA,NA,NA
FE52(1),260521,202,NA,260540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FE53(1),260531,204,260540,260550,260520,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO54(1),270541,214,270550,270560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO58(1),270581,219,270590,270600,270570,280580,NA,NA,NA,NA,NA,NA,NA,NA
CO60(1),270601,221,NA,NA,270590,280600,NA,NA,NA,NA,NA,NA,NA,NA
CO62(1),270621,224,NA,NA,NA,280620,NA,NA,NA,NA,NA,NA,NA,NA
CU68(1),290681,250,NA,NA,290670,300680,NA,NA,NA,NA,NA,NA,NA,NA
CU70(1),290701,253,NA,NA,NA,300700,NA,NA,NA,NA,NA,NA,NA,NA
ZN69(1),300691,269,300700,NA,300680,310690,NA,NA,NA,NA,NA,NA,NA,NA
ZN71(1),300711,271,300720,NA,300700,310710,NA,NA,NA,NA,NA,NA,NA,NA
ZN73(1),300731,274,NA,NA,300720,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA72(1),310721,292,NA,NA,310710,320720,NA,NA,NA,NA,NA,NA,NA,NA
GA74(1),310741,295,NA,NA,NA,320740,NA,NA,NA,NA,NA,NA,NA,NA
